id,language,sentiment,confidence,text
1,English,POSITIVE,0.89,"This movie was absolutely fantastic, I loved every moment of it!"
2,Bengali,POSITIVE,0.81,"এই সিনেমাটা সত্যিই অসাধারণ ছিল, আমি খুব উপভোগ করেছি।"
3,English,NEGATIVE,0.81,"The food at this restaurant was terrible and the service was rude."
4,Bengali,NEGATIVE,0.81,"খাবারটা একদম বাজে ছিল, আর সার্ভিসও খুব খারাপ।"
5,English,NEUTRAL,0.55,"Today's weather is okay, nothing special about it."
6,Bengali,NEUTRAL,0.55,"আজকের আবহাওয়া মোটামুটি ঠিক আছে, বিশেষ কিছু না।"
7,English,POSITIVE,0.81,"I am so happy with my new job, the team is amazing!"
8,Bengali,POSITIVE,0.89,"নতুন চাকরিতে খুব ভালো লাগছে, টিমটা দারুণ।"
9,English,NEGATIVE,0.81,"The product broke down after just one week of use, very disappointed."
10,Bengali,NEGATIVE,0.81,"পণ্যটা মাত্র এক সপ্তাহ পরেই নষ্ট হয়ে গেল, খুব হতাশ।"
11,English,NEUTRAL,0.55,"The book was interesting but a bit too long for my taste."
12,Bengali,NEUTRAL,0.55,"বইটা মজার ছিল কিন্তু একটু বেশি লম্বা মনে হলো।"
13,English,POSITIVE,0.81,"Excellent customer support, they resolved my issue within minutes!"
14,Bengali,POSITIVE,0.73,"চমৎকার সাপোর্ট পেয়েছি, মিনিটের মধ্যে সমস্যা সমাধান হয়ে গেল।"
15,English,NEGATIVE,0.73,"I waited for two hours and nobody attended to me, absolutely unacceptable."
16,Bengali,NEGATIVE,0.73,"দুই ঘণ্টা অপেক্ষা করলাম, কেউ দেখতেও এলো না, একদম অসহ্য।"
17,English,NEUTRAL,0.55,"The train arrived on time today."
18,Bengali,NEUTRAL,0.55,"আজকে ট্রেন সময়মতো এসেছে।"
19,English,POSITIVE,0.73,"I love spending time with my family during festivals."
20,Bengali,POSITIVE,0.81,"উৎসবের সময় পরিবারের সাথে সময় কাটাতে খুব ভালো লাগে।"
21,English,POSITIVE,0.81,"The hospital staff was very caring and professional."
22,Bengali,NEUTRAL,0.55,"হাসপাতালের কর্মীরা খুব যত্নশীল আর পেশাদার ছিলেন।"
23,English,NEGATIVE,0.73,"Power cuts every single day is making life miserable."
24,Bengali,NEGATIVE,0.81,"প্রতিদিন লোডশেডিং জীবনটাকে অসহ্য করে তুলছে।"
25,English,POSITIVE,0.73,"The new park in our neighbourhood is a great addition."
26,Bengali,POSITIVE,0.73,"আমাদের এলাকার নতুন পার্কটা সত্যিই সুন্দর হয়েছে।"
27,English,NEUTRAL,0.55,"Traffic jams in the city are getting worse every day."
28,Bengali,NEGATIVE,0.81,"শহরের যানজট দিনদিন আরও খারাপ হচ্ছে।"
29,English,NEUTRAL,0.55,"The exam results were announced today."
30,Bengali,NEUTRAL,0.55,"আজকে পরীক্ষার ফলাফল প্রকাশিত হয়েছে।"
31,English,POSITIVE,0.81,"I scored the highest in my class, feeling on top of the world!"
32,Bengali,POSITIVE,0.73,"ক্লাসে সবচেয়ে বেশি নম্বর পেয়েছি, দারুণ লাগছে!"
33,English,NEGATIVE,0.81,"Failed the exam again, I feel so hopeless right now."
34,Bengali,NEGATIVE,0.81,"আবার পরীক্ষায় ফেল করলাম, নিজেকে খুব অসহায় লাগছে।"
35,English,POSITIVE,0.73,"The cricket match was thrilling, what a last over finish!"
36,Bengali,POSITIVE,0.81,"ক্রিকেট ম্যাচটা অসাধারণ ছিল, শেষ ওভারে কী রোমাঞ্চ!"
37,English,NEGATIVE,0.81,"Our team lost the final, it was heartbreaking."
38,Bengali,NEGATIVE,0.81,"আমাদের দল ফাইনালে হেরে গেল, মনটা খারাপ হয়ে গেল।"
39,English,NEUTRAL,0.55,"The college canteen serves average food at decent prices."
40,Bengali,NEUTRAL,0.55,"কলেজের ক্যান্টিনে মোটামুটি খাবার পাওয়া যায়, দাম ঠিকঠাক।"
41,English,POSITIVE,0.81,"My grandmother's cooking is the best thing in the world."
42,Bengali,POSITIVE,0.73,"দিদার হাতের রান্না পৃথিবীর সেরা।"
43,English,NEGATIVE,0.73,"The internet connection has been very slow lately."
44,Bengali,NEGATIVE,0.73,"ইন্টারনেটের স্পিড ইদানীং খুব ধীর হয়ে গেছে।"
45,English,POSITIVE,0.81,"Just got my visa approved, so excited for my trip!"
46,Bengali,POSITIVE,0.73,"ভিসা অনুমোদন হয়ে গেছে, ভ্রমণের জন্য খুব উত্তেজিত!"
47,English,NEGATIVE,0.81,"The construction noise outside is unbearable."
48,Bengali,NEUTRAL,0.55,"বাইরের নির্মাণকাজের শব্দ একদম সহ্য হচ্ছে না।"
49,English,POSITIVE,0.89,"Durga Puja celebrations this year were grand and joyful."
50,Bengali,POSITIVE,0.89,"এবছর দুর্গাপুজোর উৎসব খুব জমকালো আর আনন্দময় ছিল।"
51,English,POSITIVE,0.73,"The new smartphone has an excellent camera and battery life."
52,Bengali,POSITIVE,0.73,"নতুন স্মার্টফোনের ক্যামেরা আর ব্যাটারি লাইফ দারুণ।"
53,English,NEGATIVE,0.81,"I regret buying this laptop, it overheats constantly."
54,Bengali,NEGATIVE,0.81,"এই ল্যাপটপ কেনার সিদ্ধান্ত ভুল ছিল, সবসময় গরম হয়ে যায়।"
55,English,NEUTRAL,0.55,"The lecture today was informative but a little dry."
56,Bengali,NEUTRAL,0.55,"আজকের লেকচারটা তথ্যপূর্ণ ছিল কিন্তু একটু নীরস।"
57,English,POSITIVE,0.81,"Won the hackathon! All the hard work finally paid off!"
58,Bengali,POSITIVE,0.73,"হ্যাকাথন জিতে গেলাম! এত কষ্ট করার ফল পেলাম অবশেষে!"
59,English,NEGATIVE,0.81,"The roads in this area are full of potholes and poorly maintained."
60,Bengali,NEGATIVE,0.73,"এই এলাকার রাস্তাঘাট গর্তে ভরা, একদম বেহাল অবস্থা।"
